"Employeurs ayant obtenu une Étude d'impact sur le marché du travail (EIMT) positive en 2016, par classification nationale des professions (CNP) 2011 et lieu d’affaires",,,, 
Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,"Postes Approuvés
" 
,Nice Shoes Productions Inc.,"Toronto, ON M5V 1P9",5241-Designers graphiques et illustrateurs,1
,Nickels Orchards Ltd,"Ruthven, ON N0P 2G0",8431-Ouvriers agricoles,9
,Nightingale Farms Limited,"LaSalette, ON N0E 1H0",8431-Ouvriers agricoles,112
,Nijabat Contracting Inc.,"Brampton, ON L6T 4S8",7233-Tôliers,1
,,,7251-Plombiers,1
,,,7313-Mécaniciens en réfrigération et en climatisation,1
,Nimble Content Inc.,"Toronto, ON M5V 1J2","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,Nine Times Productions Inc.,"Toronto, ON M6G 1Z6",5135-Acteurs et comédiens,1
,Nokara Farms Limited,"St Catharines, ON L2R 6P9",8431-Ouvriers agricoles,5
,Nolbu Toronto Korean Japanese Restaurant,"Toronto, ON M2N 1R3",6322-Cuisiniers,1
,NoNO Inc.,"Toronto, ON M5T 2S8","13-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,Noranco Inc,"Vaughan, ON L4L 9N6",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,Norba Investments Ltd.,"Carlisle, ON L0R 1H1",6311-Superviseurs des services alimentaires,1
,Norfolk Fields Ltd,"Windham Centre, ON N0E 2A0",8431-Ouvriers agricoles,20
,Norm Li AG + I Inc.,"Toronto, ON M5G 2E8",5241-Designers graphiques et illustrateurs,1
,Normand Excavation Inc.,"Hawkesbury, ON K6A 2R8",2234-Estimateurs en construction,1
,Nortex Roofing Ltd.,"Toronto, ON M8Z 2X2",7291-Couvreurs et poseurs de bardeaux,4
,North 42  Farms,"Harrow, ON N0R 1G0",8431-Ouvriers agricoles,5
,North American Midway Entertainment-Canada Co.,"Brantford, ON N3R 8A6",6316-Surveillants des autres services,10
,,,6623-Autre personnel assimilé des ventes,30
,,,"6722-Opérateurs et préposés aux sports, aux loisirs et dans les parcs d'attractions",124
,,,7511-Conducteurs de camions de transport,13
,North Canal Produce Inc,"Bradford, ON L3Z 2A4",8431-Ouvriers agricoles,5
,North Region Convenience Canada Inc,"Shelburne, ON L9V 2Z2",621-Directeurs - commerce de détail et de gros,1
,North Shore Media Inc.,"Hamilton, ON L8P 1J3",5135-Acteurs et comédiens,1
,North Star Cement Finish Inc.,"Toronto, ON M6J 2Z6",7282-Finisseurs de béton,1
,North York General Hospital,"Toronto, ON M2K 1E1",3111-Médecins spécialistes,1
,Northend Gardens 1991 Inc,"Jordan Station, ON L0R 1S0",8432-Ouvriers de pépinières et de serres,13
,Northern Lights Direct,"Toronto, ON M5H 3P9",5135-Acteurs et comédiens,1
,Northern Tropix Greenhouses Ltd,"Wainfleet, ON L0S 1V0",8432-Ouvriers de pépinières et de serres,5
,Northland Garlic Inc,"Mount Forest, ON N0G 2L0",8431-Ouvriers agricoles,6
,Northland Ginseng Farms Inc.,"Windham Centre, ON N0E 2A0",8431-Ouvriers agricoles,22
,Northpoint Family Medicine Inc.,"Brampton, ON L6R 0X5",3112-Omnipraticiens et médecins en médecine familiale,1
,Northshore Sudbury Ltd.,"Sudbury, ON P3A 4R7",6221-Spécialistes des ventes techniques - commerce de gros,1
,Northstar Wall Systems Ltd.,"Concord, ON L4K 2M9","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,Northview Windows and Doors,"North York, ON M3J 2V8","124-Directeurs de la publicité, du marketing et des relations publiques",1
,,,9227-Surveillants dans la fabrication et le montage de produits divers,1
,"Northwest Justice One, Inc.","Toronto, ON M6J 3K6","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,Northwood Anne Inc.,"Toronto, ON M3C 2K5","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,Norwesters Alpine Club,"Kaministiquia, ON P0T 1X0",5252-Entraîneurs,1
,Nostra Services Inc,"Brampton, ON L6X 1R3",6322-Cuisiniers,1
,Nova Diamonds Inc.,"Toronto, ON M5B 1V4","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Novantas Inc.,"Toronto, ON M5H 4C7",1122-Professionnels des services-conseils en gestion aux entreprises,1
,Novocan Inc.,"Etobicoke, ON M8Z 2G6",621-Directeurs - commerce de détail et de gros,1
,Novoclad Systems Inc,"Mississauga, ON L4X 2Z2",7233-Tôliers,4
,Nulogy Corporation,"Toronto, ON M5V 3B1",2174-Programmeurs et développeurs en médias interactifs,1
,Nutbrown Farms Limited,"Wilsonville, ON N0E 1Z0",8431-Ouvriers agricoles,1
,Nutralab Canada Ltd,"Toronto, ON M1X 1C3",2241-Technologues et techniciens en génie électronique et électrique,1
,Nuvia Canada Inc.,"Toronto, ON M4W 3E2","2263-Inspecteurs de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail",22
,Nuvollo Corp.,"Toronto, ON M4L 2H3",2173-Ingénieurs et concepteurs en logiciel,1
,Nuvoxx Communications Ltd.,"Mississauga, ON L4V 1T1",2281-Techniciens de réseau informatique,1
,NW Northwood Developments Inc.,"Pickering, ON L1W 1Z9","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,Oakfield Sei Ltd.,"Markham, ON L3R 2N2",6321-Chefs,1
,Oasis Greehouses Ltd,"Chatham, ON N7M 5J8",8431-Ouvriers agricoles,5
,,,8432-Ouvriers de pépinières et de serres,5
,Octate McLeod Inc. o/a A&W,"Mississauga, ON L5T 2W4",6311-Superviseurs des services alimentaires,1
,OFC Distribution Inc.,"Mississauga, ON L5A 3V7",1223-Agents des ressources humaines et de recrutement,1
,Okhee Choi Ltd.,"Ottawa, ON K1R 5K4",6322-Cuisiniers,1
,"Okta Software Canda, Inc.","Toronto, ON M5J 2S1",2173-Ingénieurs et concepteurs en logiciel,2
,Old Castle Canada Building Products Inc.,"Concord, ON L4K 5W1",2252-Designers industriels,2
,Old World Stone Limited,"Burlington, ON L7L 4Y1",5244-Artisans,1
,Olive Grove Hydroponics,"Leamington, ON N8H 4H3",8432-Ouvriers de pépinières et de serres,24
,Olympic Plastic Bags (1983) Ltd.,"Toronto, ON M1S 5K5",1221-Agents d'administration,1
,Olympos Ltd,"Sudbury, ON P3C 1V8",631-Directeurs de la restauration et des services alimentaires,1
,Om India Food Centre Toronto Ltd,"Scarborough, ON M1V 5G6",621-Directeurs - commerce de détail et de gros,1
,OMEGA FOOD IMPORTERS CO. LTD,"Mississauga, ON L5T 2W9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Omnigon Communications Inc.,"Toronto, ON M6K 3E3",2171-Analystes et consultants en informatique,1
,One Solution Data Corporation,"Grimsby, ON L3M 5T2",2281-Techniciens de réseau informatique,1
,Onex Corporation,"Toronto, ON M5J 2S1","2271-Pilotes, navigateurs et instructeurs de pilotage du transport aérien",3
,Onkar Travel Services Inc.,"Mississauga, ON L4T 0A7",621-Directeurs - commerce de détail et de gros,1
,,,1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,Ontario Corporation # 1573428,"Caledon East, ON L7C 3B5","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Ontario Corporation #002392879,"Waterloo, ON N2V 2M7",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,1
,Ontario Corporation #1841837,"Waterloo, ON N2V 2M7",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,10
,,,7271-Charpentiers-menuisiers,12
,,,"7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",12
,,,"7384-Autre personnel des métiers et personnel assimilé, n.c.a.",1
,,,"7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",2
,Ontario Corporation #1882212,"Kitchener, ON N2M 3C6",631-Directeurs de la restauration et des services alimentaires,1
,Ontario Impex of Canada,"Brampton, ON L6T 1E2",6321-Chefs,1
,,,6322-Cuisiniers,7
,,,7311-Mécaniciens de chantier et mécaniciens industriels,1
,,,"9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
,Ontario Institute for Cancer Research,"Toronto, ON M2N 6Y8",212-Directeurs des services d'architecture et de sciences,1
,,,213-Gestionnaires des systèmes informatiques,1
,,,2121-Biologistes et personnel scientifique assimilé,1
,,,2221-Technologues et techniciens en biologie,2
,Ontario Plants Propagation Limited,"St Thomas, ON N5P 3T2",8432-Ouvriers de pépinières et de serres,94
,Ontario Potato Dist (Alliston) Inc 1991,"Alliston, ON L9R 1W1",8431-Ouvriers agricoles,6
,Ontario Power Generation,"Toronto, ON M5G 1Z5",112-Directeurs des ressources humaines,1
,Ontario Shores Centre for Mental Health Sciences,"Whitby, ON L1N 5S9",4151-Psychologues,1
,Ontario Steel Haulers Inc.,"Concord, ON L4K 1J5",2173-Ingénieurs et concepteurs en logiciel,1
,Ontario Teachers Pension Plan Board,"Toronto, ON M2M 4H5",601-Directeurs des ventes corporatives,1
,OPC.TV Inc.,"Toronto, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",5
,Open Decisions Inc.,"Markham, ON L3R 0A9","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Open.A Creative Company Inc.,"Toronto, ON M6K 3J1","5121-Auteurs, rédacteurs et écrivains",1
,OPERATION MOBILIZATION CANADA,"Port Colborne, ON L3K 4C8",4217-Autre personnel relié à la religion,1
,Orange Hill Farms Inc,"Listowel, ON N9W 2M7",821-Gestionnaires en agriculture,1
,Orange Law and Public Relations,"Toronto, ON M5M 2Y5",4411-Gardiens d'enfants en milieu familial,1
,,"Toronto, ON M5S 1M2",6221-Spécialistes des ventes techniques - commerce de gros,6
,Orangeline Farms Limited,"Leamington, ON N8H 3V8",8432-Ouvriers de pépinières et de serres,38
,Orchard Park Growers Ltd,"St Catharines, ON L2M 2K5",8432-Ouvriers de pépinières et de serres,26
,OrderDynamics Corporation,"Richmond Hill, ON L4B 1H1","13-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,Orleans Fruit Farm,"Orleans, ON K1C 7K9",8431-Ouvriers agricoles,12
,OTELFO,"Toronto, ON M4Y 2M5","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Ottawa Medical Management Group Inc.,"Ottawa, ON K1H 7Z5",3112-Omnipraticiens et médecins en médecine familiale,1
,Ottawa Swiss Watch Services Inc.,"Ottawa, ON K1T 2J7","6344-Bijoutiers, réparateurs de bijoux, horlogers-rhabilleurs et personnel assimilé",2
,Ottawa Theravada Buddhist Vihara and Cultural,"Ottawa, ON K1C 1L4",4154-Personnel professionnel relié à la religion,1
,OUR LADY'S MISSIONARIES,"Toronto, ON M4B 2W1",4217-Autre personnel relié à la religion,1
,Ours Enterprises Inc.,"Caledon, ON L7K 0X8",6311-Superviseurs des services alimentaires,1
,Overholt Orchards Inc,"St Catharines, ON L2R 6P9",8431-Ouvriers agricoles,10
,"OVO Sound, An Ontario General Partnership","Toronto, ON M8W 3R6",5133-Musiciens et chanteurs,2
,Oxford Window Installations Ltd.,"Toronto, ON M9W 6X9",7292-Vitriers,1
,P & G Landscaping & Snow Removal Inc.,"Caledon, ON L7C 3G3",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,P & S VanBerlo Ltd,"Simcoe, ON N3Y 4K3",8431-Ouvriers agricoles,66
,P Ravensbergen & Sons Ltd,"Smithville, ON L0R 2A0",8432-Ouvriers de pépinières et de serres,10
,Pack-Smart Incorporated,"Concord, ON L4K 2J8",6221-Spécialistes des ventes techniques - commerce de gros,1
,Pact Engineering Inc.,"Concord, ON L4K 5W9",2232-Technologues et techniciens en génie mécanique,1
,PADS Inc.,"Brampton, ON L6T 5B1",6221-Spécialistes des ventes techniques - commerce de gros,1
,Pais Farms Inc,"Simcoe, ON N3Y 4K3",8431-Ouvriers agricoles,3
,Paladion Inc.,"Toronto, ON M5X 1C9",2171-Analystes et consultants en informatique,1
,Palcam Technologies Ltd,"Newmarket, ON L3Y 9C7",7231-Machinistes et vérificateurs d'usinage et d'outillage,3
,"Pan-Asia Food Co., Ltd.","Mississauga, ON L5T 2J3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Pancho's Bakery Inc.,"Mississauga, ON L4X 2G6",631-Directeurs de la restauration et des services alimentaires,1
,Pandey Transport Ltd,"Toronto, ON M9W 5R1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Pantos Logistics Canada Inc.,"Etobicoke, ON M9W 7K4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",2
,,,1521-Expéditeurs et réceptionnaires,1
,Paper Year (Canada) Inc.,"Toronto, ON M4M 2T5","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,Paradigm Orillia Technology Inc.,"Orillia, ON L3V 0T7",7231-Machinistes et vérificateurs d'usinage et d'outillage,2
,Paradigm Shift Technologies Inc,"Toronto, ON M6L 2Y4",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,Paradise Building Supplies Ltd.,"Mississauga, ON L5S 1N4",6222-Acheteurs des commerces de détail et de gros,1
,Paran Tours Inc,"North York, ON M2M 3S9","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,Paris Bakery & Pastry Inc.,"Toronto, ON M6H 3Y8",6321-Chefs,1
,Parks Blueberries Ltd,"Bothwell, ON N0P 1C0",8431-Ouvriers agricoles,9
,Park's Sushi House Inc.,"Markham, ON L3R 9W4",6322-Cuisiniers,1
,Parkway Estate Vineyards Inc,"Grimsby, ON L3M 4E7",8431-Ouvriers agricoles,3
,Parmalat Canada Inc,"Etobicoke, ON M9C 5J1",111-Directeurs financiers,1
,Pars Moto Collision Centre Inc.,"Toronto, ON M3J 1Z5",621-Directeurs - commerce de détail et de gros,1
,Parsons Inc.,"Markham, ON L3R 9R9",211-Directeurs des services de génie,1
,,,2264-Inspecteurs en construction,1
,Particular Skills Production CN Inc.,"Toronto, ON M8W 3Z8","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,Partners Film Inc.,"Toronto, ON M5A 3C4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",21
,,,5133-Musiciens et chanteurs,1
,Passat Ltd,"Vaughan, ON L4K 2M4",2111-Physiciens et astronomes,1
,Paul Watson Farms Ltd,"Bowmanville, ON L1C 3K3",8431-Ouvriers agricoles,40
,Paul's Group Limited,"Hamilton, ON L8E 4P2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Pavanputra Corporation,"Stouffville, ON L4A 0V6",631-Directeurs de la restauration et des services alimentaires,1
,Paytm Labs Inc.,"Toronto, ON M5H 1W7",2173-Ingénieurs et concepteurs en logiciel,5
,PBC Development & Construction Management Group Inc,"Ottawa, ON K2P 1Z2",711-Directeurs de la construction,1
,PDM Carpenters Ltd.,"Toronto, ON M6E 3X3",7271-Charpentiers-menuisiers,1
,PE Pharma Inc.,"North York, ON M3B 3P6",1241-Adjoints administratifs,1
,Peaceland Realty Group Inc.,"Richmond Hill, ON L4B 1B4",1242-Adjoints administratifs juridiques,1
,Pearl Family Vineyards Inc,"Jordan, ON L0R 1S0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,,8431-Ouvriers agricoles,1
,Peel Truck Repairs Inc,"Mississauga, ON L5S 1A7",7322-Débosseleurs et réparateurs de carrosserie,1
,Peeters Mushrooms Inc,"Blenheim, ON N0P 1A0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,,8611-Manoeuvres à la récolte,49
,Pelee Island Winery & Vineyard Inc.,"Kingsville, ON N9Y 2K5",8431-Ouvriers agricoles,40
,Pelikan Inc.,"Burlington, ON L7P 1A6",2241-Technologues et techniciens en génie électronique et électrique,1
,Penguine Basements Ltd,"Toronto, ON M3J 2C4",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,Peninsula Peach,"Vineland Station, ON L0R 2E0",8431-Ouvriers agricoles,25
,Per Vices Corporation,"Toronto, ON M6P 1W9",2147-Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),2
,Peraso Technologies,"Toronto, ON M5J 2L7",2173-Ingénieurs et concepteurs en logiciel,1
,Perfect Pick Farms Ltd,"Mount Brydges, ON N0L 1W0",8431-Ouvriers agricoles,46
,Perveen Inc.,"Hamilton, ON L8P 3S7",6211-Superviseurs des ventes - commerce de détail,1
,Peter & Jenny Bouw Farms Ltd,"Vittoria, ON N0E 1W0",8431-Ouvriers agricoles,10
,Peter & Parvez Formal Wear Ltf,"Toronto, ON M5X 1C9","9217-Surveillants dans la transformation et la fabrication de produits textiles, de tissus, de fourrure et de cuir",1
,Peter Jennen Farms Inc,"Thamesville, ON N0P 2K0",8431-Ouvriers agricoles,11
,Peter Vichos Enterprises Ltd,"Kemptville, ON K0G 1J0",8431-Ouvriers agricoles,1
,Peter Welsh Farming Inc,"Scotland, ON N0E 1R0",8431-Ouvriers agricoles,21
,Peterborough Regional Health Centre,"Peterborough, ON K9J 7C6",3111-Médecins spécialistes,1
,Petrolawn Inc.,"Guelph, ON N1H 7M1",6211-Superviseurs des ventes - commerce de détail,1
,Pets Cool Corporation,"Barrie, ON L4M 6L5","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,Pettitt Farms Inc,"Wilsonville, ON N0E 1Z0",8431-Ouvriers agricoles,10
,Pfaff Motors Inc.,"Vaughan, ON L4K 4L1","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Pfenning's Organic Vegetables,"New Hamburg, ON N3A 1T1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,,8431-Ouvriers agricoles,25
,PG Enns Farms Ltd,"Niagara on the lake, ON L0S 1J0",8431-Ouvriers agricoles,40
,Phaeton Automotive Management Inc.,"London, ON N6L 1J9","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,Pharmx Rexall Drugstores Ltd.,"Mississauga, ON L4Z 1R9",621-Directeurs - commerce de détail et de gros,2
,,,3131-Pharmaciens,4
,Philly Farms Ltd,"Langton, ON N0E 1G0",8431-Ouvriers agricoles,8
,Phoenix Web Inc.,"Markham, ON L3R 2M4",7381-Opérateurs de presses à imprimer,1
,Physioflex Canada Finchwood Inc.,"Etobicoke, ON M9W 6N5",3237-Autre personnel technique en thérapie et en diagnostic,1
,Piccioni Bros Mushroom Farm Ltd,"Dundas, ON L9H 5E2","2123-Agronomes, conseillers et spécialistes en agriculture",1
,,,8431-Ouvriers agricoles,9
,,,8611-Manoeuvres à la récolte,25
,Pickering Orchards,"Pickering, ON L1Y 1C4",8431-Ouvriers agricoles,10
,Pieper Nurseries Inc,"Dorchester, ON N0L 1G6",8431-Ouvriers agricoles,1
,,,8432-Ouvriers de pépinières et de serres,26
,Pier 27 Produce Group Inc,"Barrie, ON L4N 6L2",8431-Ouvriers agricoles,11
