"Number of temporary foreign worker (TFW) positions on positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC), and province/territory",,,,,,,,
Canada,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
3221 - Denturists,0,0,0,0,0,0,2,2
3222 - Dental hygienists and dental therapists,0,0,0,0,0,1,0,0
"3223 - Dental technologists, technicians and laboratory assistants",0,1,0,0,0,1,0,0
"3413 - Nurse aides, orderlies and patient service associates",2,4,1,0,7,9,12,218
3414 - Other assisting occupations in support of health services,0,0,0,0,0,0,0,1
4011 - University professors and lecturers,0,1,0,0,0,0,1,0
4021 - College and other vocational instructors,2,1,0,0,0,0,0,0
"4153 - Family, marriage and other related counsellors",1,1,0,0,0,0,0,0
4154 - Professional occupations in religion,0,1,0,0,0,0,0,0
4163 - Business development officers and marketing researchers and consultants,1,0,0,0,1,0,0,0
"4169 - Other professional occupations in social science, n.e.c.",0,1,0,0,0,0,0,0
4212 - Social and community service workers,0,0,0,0,0,0,1,0
4214 - Early childhood educators and assistants,0,0,0,1,0,0,0,2
4411 - Home child care providers,4,2,4,6,1,2,2,3
"4412 - Home support workers, housekeepers and related occupations",2,10,5,3,2,11,18,15
"5226 - Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",0,0,0,0,0,1,0,0
5244 - Artisans and craftspersons,0,0,0,0,0,0,1,0
5252 - Coaches,1,0,0,0,0,0,0,1
6211 - Retail sales supervisors,0,0,2,5,10,13,20,26
6221 - Technical sales specialists - wholesale trade,1,0,0,0,0,1,0,0
6222 - Retail and wholesale buyers,0,0,0,0,0,0,1,0
6311 - Food service supervisors,9,11,5,28,26,32,149,99
6312 - Executive housekeepers,0,0,2,0,0,3,4,3
"6313 - Accommodation, travel, tourism and related services supervisors",0,1,0,1,0,1,2,2
6315 - Cleaning supervisors,0,0,0,2,0,0,1,3
6316 - Other services supervisors,0,0,0,1,0,0,1,0
6321 - Chefs,3,2,0,0,1,0,3,2
6322 - Cooks,73,59,52,75,78,104,174,198
"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",0,0,0,0,1,0,3,2
6332 - Bakers,1,0,1,4,1,5,10,1
6341 - Hairstylists and barbers,1,0,0,0,0,2,0,0
"6342 - Tailors, dressmakers, furriers and milliners",0,0,0,0,0,0,3,0
6421 - Retail salespersons,0,1,0,0,0,3,4,4
6511 - Maîtres d'hôtel and hosts/hostesses,0,0,0,0,0,0,0,2
6512 - Bartenders,0,0,0,0,0,0,0,1
6513 - Food and beverage servers,2,1,0,5,1,0,3,5
6522 - Pursers and flight attendants,0,0,0,0,0,1,0,0
6525 - Hotel front desk clerks,0,0,0,2,0,0,1,9
6532 - Outdoor sport and recreational guides,0,0,0,8,0,0,0,0
6552 - Other customer and information services representatives,0,0,0,0,0,0,0,10
"6562 - Estheticians, electrologists and related occupations",0,0,0,0,0,0,2,10
6611 - Cashiers,0,0,0,0,0,4,0,7
"6622 - Store shelf stockers, clerks and order fillers",0,0,0,0,0,0,0,1
"6711 - Food counter attendants, kitchen helpers and related support occupations",0,0,0,0,5,1,34,184
"6722 - Operators and attendants in amusement, recreation and sport",1,1,1,1,1,0,1,8
6731 - Light duty cleaners,3,3,3,7,2,1,13,27
6732 - Specialized cleaners,0,0,0,0,0,0,4,5
"6733 - Janitors, caretakers and building superintendents",0,0,0,0,0,0,1,0
"6742 - Other service support occupations, n.e.c.",0,0,0,0,0,0,2,0
"7202 - Contractors and supervisors, electrical trades and telecommunications occupations",20,0,0,9,0,0,0,0
"7205 - Contractors and supervisors, other construction trades, installers, repairers and servicers",0,0,0,0,1,1,1,2
7231 - Machinists and machining and tooling inspectors,0,2,3,0,2,1,3,0
7233 - Sheet metal workers,0,0,0,0,0,0,18,0
7235 - Structural metal and platework fabricators and fitters,0,0,0,0,0,18,0,6
7237 - Welders and related machine operators,0,1,0,0,0,24,30,8
7241 - Electricians (except industrial and power system),0,0,0,0,0,0,0,2
7242 - Industrial electricians,18,6,1,0,0,1,0,0
7245 - Telecommunications line and cable workers,4,1,0,0,0,0,0,0
"7252 - Steamfitters, pipefitters and sprinkler system installers",0,1,0,0,0,0,0,0
7271 - Carpenters,0,0,0,1,0,4,15,27
7281 - Bricklayers,0,0,0,0,0,1,1,0
7282 - Concrete finishers,0,0,0,0,0,0,5,0
7283 - Tilesetters,0,0,0,0,0,0,0,1
"7284 - Plasterers, drywall installers and finishers and lathers",0,0,0,0,0,16,0,0
7291 - Roofers and shinglers,0,0,0,0,0,1,4,0
7294 - Painters and decorators (except interior decorators),0,0,0,0,0,4,8,0
"7301 - Contractors and supervisors, mechanic trades",0,0,0,0,0,0,1,0
"7302 - Contractors and supervisors, heavy equipment operator crews",0,0,0,0,1,0,0,0
"7305 - Supervisors, motor transport and other ground transit operators",0,2,0,0,0,0,1,0
7312 - Heavy-duty equipment mechanics,0,0,0,0,0,0,4,3
"7321 - Automotive service technicians, truck and bus mechanics and mechanical repairers",0,2,0,0,2,0,7,8
7322 - Motor vehicle body repairers,1,0,0,0,1,0,1,6
"7334 - Motorcycle, all-terrain vehicle and other related mechanics",0,0,0,0,0,0,0,3
7371 - Crane operators,7,4,0,3,0,0,0,0
"7372 - Drillers and blasters - surface mining, quarrying and construction",0,2,0,0,0,0,0,0
"7384 - Other trades and related occupations, n.e.c.",5,5,0,0,0,0,0,0
7441 - Residential and commercial installers and servicers,0,0,0,0,2,0,0,5
7445 - Other repairers and servicers,2,2,2,0,0,0,0,1
7452 - Material handlers,0,0,0,1,0,4,13,3
7511 - Transport truck drivers,125,116,170,243,168,229,321,142
7513 - Taxi and limousine drivers and chauffeurs,0,0,0,1,0,4,8,0
7514 - Delivery and courier service drivers,0,0,0,0,0,0,6,7
7521 - Heavy equipment operators (except crane),0,8,0,0,0,0,0,12
7532 - Water transport deck and engine room crew,43,20,21,7,1,10,6,1
7535 - Other automotive mechanical installers and servicers,0,0,1,1,0,2,2,1
7611 - Construction trades helpers and labourers,0,0,0,0,5,27,160,151
7612 - Other trades helpers and labourers,0,0,0,0,0,0,1,12
8241 - Logging machinery operators,0,0,0,36,10,30,0,42
"8252 - Agricultural service contractors, farm supervisors and specialized livestock workers",2,5,7,14,9,19,12,36
"8255 - Contractors and supervisors, landscaping, grounds maintenance and horticulture services",0,0,0,0,0,0,1,0
8421 - Chain saw and skidder operators,0,0,0,0,0,2,0,0
8422 - Silviculture and forestry workers,0,0,0,30,0,70,60,25
8431 - General farm workers,135,121,142,177,258,263,408,494
8432 - Nursery and greenhouse workers,42,53,47,99,83,122,114,195
8611 - Harvesting labourers,5,16,1,27,20,16,20,26
8612 - Landscaping and grounds maintenance labourers,0,0,0,0,1,0,33,6
8613 - Aquaculture and marine harvest labourers,0,0,0,0,0,0,39,4
"9211 - Supervisors, mineral and metal processing",0,0,0,0,0,0,0,1
"9213 - Supervisors, food, beverage and associated products processing",0,1,0,0,0,0,1,5
"9227 - Supervisors, other products manufacturing and assembly",0,0,0,0,0,0,1,0
"9232 - Petroleum, gas and chemical process operators",7,0,0,0,0,0,0,0
"9414 - Concrete, clay and stone forming operators",0,0,0,0,0,0,3,4
9416 - Metalworking and forging machine operators,0,0,0,0,0,0,0,2
9417 - Machining tool operators,0,0,0,0,0,0,0,3
9418 - Other metal products machine operators,0,0,2,0,0,0,0,0
9421 - Chemical plant machine operators,0,0,0,0,0,0,0,1
9422 - Plastics processing machine operators,0,0,0,0,0,1,0,0
9423 - Rubber processing machine operators and related workers,0,0,0,0,0,0,1,0
9437 - Woodworking machine operators,0,0,0,0,0,0,2,4
9446 - Industrial sewing machine operators,0,0,0,2,0,0,0,0
"9461 - Process control and machine operators, food, beverage and associated products processing",0,0,0,0,0,1,30,4
"9462 - Industrial butchers and meat cutters, poultry preparers and related workers",0,0,0,14,9,0,5,0
9463 - Fish and seafood plant workers,769,"1,178",807,992,"2,101","1,695","4,224","2,369"
"9465 - Testers and graders, food, beverage and associated products processing",0,0,0,0,0,0,0,20
9531 - Boat assemblers and inspectors,0,0,0,0,0,13,25,0
9532 - Furniture and fixture assemblers and inspectors,0,0,0,0,0,2,0,0
9533 - Other wood products assemblers and inspectors,0,0,6,8,13,56,166,51
"9535 - Plastic products assemblers, finishers and inspectors",0,0,0,0,3,0,11,0
"9536 - Industrial painters, coaters and metal finishing process operators",2,0,0,0,0,0,0,2
9612 - Labourers in metal fabrication,0,0,0,0,0,1,0,3
"9614 - Labourers in wood, pulp and paper processing",0,0,0,0,0,0,15,10
9615 - Labourers in rubber and plastic products manufacturing,0,0,0,0,8,35,67,0
"9617 - Labourers in food, beverage and associated products processing",0,0,0,0,0,15,81,42
9618 - Labourers in fish and seafood processing,4,57,19,106,10,31,530,248
"9619 - Other labourers in processing, manufacturing and utilities",0,0,0,0,0,36,64,46
New Brunswick - Total,"1,471","1,800","1,361","1,974","2,886","3,015","7,138","5,015"
Quebec,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
"0013 - Senior managers - financial, communications and other business services",9,13,9,7,11,3,7,5
"0014 - Senior managers - health, education, social and community services and membership organizations",1,0,1,0,0,0,0,3
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",5,4,5,4,3,1,3,1
"0016 - Senior managers - construction, transportation, production and utilities",6,6,5,10,8,8,6,6
0111 - Financial managers,4,2,2,7,3,4,15,16
0112 - Human resources managers,1,1,1,2,0,3,3,14
0113 - Purchasing managers,4,0,1,2,5,4,6,3
0114 - Other administrative services managers,2,0,0,1,1,1,4,2
"0121 - Insurance, real estate and financial brokerage managers",0,1,0,0,2,0,0,2
"0122 - Banking, credit and other investment managers",2,0,1,0,0,1,1,3
"0124 - Advertising, marketing and public relations managers",33,40,36,18,17,21,26,27
0125 - Other business services managers,2,0,1,0,3,1,1,6
0131 - Telecommunication carriers managers,0,0,0,0,1,1,0,0
0211 - Engineering managers,1,5,4,7,4,5,11,15
0212 - Architecture and science managers,1,4,2,5,0,1,1,5
0213 - Computer and information systems managers,8,7,46,81,58,110,165,105
0311 - Managers in health care,0,1,0,0,0,0,0,2
0421 - Administrators - post-secondary education and vocational training,0,1,1,0,0,0,2,1
0422 - School principals and administrators of elementary and secondary education,1,0,0,0,0,0,1,0
"0423 - Managers in social, community and correctional services",0,0,0,1,1,0,1,5
0432 - Fire chiefs and senior firefighting officers,0,0,0,0,0,0,0,1
"0511 - Library, archive, museum and art gallery managers",0,0,0,0,0,0,1,0
"0512 - Managers - publishing, motion pictures, broadcasting and performing arts",0,0,2,0,1,1,1,1
"0513 - Recreation, sports and fitness program and service directors",1,0,2,0,0,0,4,3
0601 - Corporate sales managers,11,9,4,8,18,6,12,26
0621 - Retail and wholesale trade managers,6,3,5,1,4,4,11,14
0631 - Restaurant and food service managers,12,14,10,30,27,20,121,188
0632 - Accommodation service managers,3,4,1,2,3,3,7,15
"0651 - Managers in customer and personal services, n.e.c.",1,0,2,1,2,0,0,6
0711 - Construction managers,3,1,0,5,8,10,37,47
0712 - Home building and renovation managers,0,0,0,0,0,1,6,12
0714 - Facility operation and maintenance managers,2,1,0,1,1,0,2,2
0731 - Managers in transportation,3,2,6,1,5,2,2,6
0811 - Managers in natural resources production and fishing,0,0,1,0,2,0,0,0
0821 - Managers in agriculture,1,4,2,0,4,3,10,36
0822 - Managers in horticulture,1,0,0,0,0,0,1,1
0823 - Managers in aquaculture,0,1,0,0,0,0,1,0
0911 - Manufacturing managers,8,5,1,3,9,5,17,14
0912 - Utilities managers,0,0,0,0,0,1,1,0
1111 - Financial auditors and accountants,10,8,8,9,5,6,28,21
1112 - Financial and investment analysts,3,12,9,11,13,8,26,45
"1113 - Securities agents, investment dealers and brokers",1,1,0,0,0,0,0,1
1114 - Other financial officers,3,1,0,0,4,2,13,38
1121 - Human resources professionals,3,4,1,6,10,5,17,28
1122 - Professional occupations in business management consulting,5,10,1,4,8,8,46,102
"1123 - Professional occupations in advertising, marketing and public relations",9,7,10,6,33,37,81,149
"1211 - Supervisors, general office and administrative support workers",0,0,0,0,0,1,4,11
"1212 - Supervisors, finance and insurance office workers",0,0,0,0,0,2,1,0
"1214 - Supervisors, mail and message distribution occupations",0,0,0,0,0,0,7,19
"1215 - Supervisors, supply chain, tracking and scheduling co-ordination occupations",2,2,3,13,12,14,84,92
1221 - Administrative officers,2,1,0,1,14,14,49,128
1222 - Executive assistants,23,8,12,11,22,12,43,23
1223 - Human resources and recruitment officers,4,5,3,12,8,16,96,70
1224 - Property administrators,0,0,0,0,2,6,8,19
1225 - Purchasing agents and officers,11,4,7,4,11,11,64,65
1226 - Conference and event planners,0,2,2,2,8,2,6,30
1241 - Administrative assistants,6,26,39,36,38,45,237,413
1242 - Legal administrative assistants,1,1,0,1,2,0,7,10
1243 - Medical administrative assistants,1,0,0,2,1,5,15,12
1252 - Health information management occupations,0,0,0,0,0,0,0,1
1253 - Records management technicians,0,0,0,0,0,0,0,2
1254 - Statistical officers and related research support occupations,0,0,0,0,0,0,1,1
1311 - Accounting technicians and bookkeepers,3,7,7,17,8,19,103,144
1312 - Insurance adjusters and claims examiners,0,0,0,0,3,0,2,7
1313 - Insurance underwriters,0,0,0,0,0,0,0,2
"1314 - Assessors, valuators and appraisers",0,0,0,0,0,2,2,0
"1315 - Customs, ship and other brokers",0,2,0,0,0,0,0,0
1411 - General office support workers,1,0,0,0,0,0,5,1
1414 - Receptionists,0,0,0,0,0,0,13,17
1415 - Personnel clerks,0,0,0,0,0,0,2,3
1422 - Data entry clerks,0,0,0,0,5,0,0,3
1431 - Accounting and related clerks,1,0,0,0,0,0,6,6
1432 - Payroll clerks,0,0,0,0,0,0,1,0
"1434 - Banking, insurance and other financial clerks",0,0,0,0,0,0,1,4
"1511 - Mail, postal and related workers",0,0,0,0,0,1,0,0
1512 - Letter carriers,0,0,0,0,0,0,0,1
1521 - Shippers and receivers,1,0,0,13,23,26,135,51
1522 - Storekeepers and partspersons,0,1,0,3,8,9,20,54
1523 - Production logistics co-ordinators,1,0,1,0,1,0,11,39
1524 - Purchasing and inventory control workers,0,0,0,0,0,0,17,47
1525 - Dispatchers,0,0,0,1,0,0,2,12
1526 - Transportation route and crew schedulers,0,0,0,0,0,1,1,3
2111 - Physicists and astronomers,1,2,2,4,3,5,4,4
2112 - Chemists,3,8,7,9,7,14,56,53
2113 - Geoscientists and oceanographers,1,2,2,1,3,5,2,2
2114 - Meteorologists and climatologists,0,1,0,0,0,0,0,0
2115 - Other professional occupations in physical sciences,0,0,0,1,1,0,1,1
2121 - Biologists and related scientists,3,6,2,4,2,15,15,19
2122 - Forestry professionals,1,0,0,0,1,0,0,0
"2123 - Agricultural representatives, consultants and specialists",0,0,0,0,1,0,0,3
2131 - Civil engineers,6,5,3,8,7,12,17,30
2132 - Mechanical engineers,20,18,9,12,8,10,21,37
2133 - Electrical and electronics engineers,7,6,2,5,7,12,25,46
2134 - Chemical engineers,0,0,1,0,5,1,3,2
2141 - Industrial and manufacturing engineers,0,1,0,0,7,3,18,34
2142 - Metallurgical and materials engineers,2,0,0,4,0,2,2,4
2143 - Mining engineers,0,0,0,0,0,0,1,2
2144 - Geological engineers,1,0,0,1,0,1,3,2
2146 - Aerospace engineers,29,14,9,4,4,6,4,16
2147 - Computer engineers (except software engineers and designers),2,5,6,17,10,24,34,39
"2148 - Other professional engineers, n.e.c.",2,2,2,2,3,1,2,0
2151 - Architects,0,0,0,1,1,3,6,5
2152 - Landscape architects,0,0,1,0,0,1,1,2
2153 - Urban and land use planners,0,0,0,0,0,1,0,1
2154 - Land surveyors,0,0,0,0,0,0,2,2
"2161 - Mathematicians, statisticians and actuaries",0,1,0,2,3,3,3,5
2171 - Information systems analysts and consultants,166,165,291,628,400,692,"1,427",952
2172 - Database analysts and data administrators,9,9,28,65,45,48,102,103
2173 - Software engineers and designers,64,74,128,154,169,175,282,194
2174 - Computer programmers and interactive media developers,225,340,565,774,515,756,"1,335",772
2175 - Web designers and developers,47,52,56,159,87,123,176,168
2211 - Chemical technologists and technicians,1,1,3,5,11,8,42,49
2212 - Geological and mineral technologists and technicians,0,1,0,1,1,2,8,6
2221 - Biological technologists and technicians,1,0,1,0,3,1,19,23
2222 - Agricultural and fish products inspectors,0,0,0,0,0,0,0,3
2223 - Forestry technologists and technicians,0,0,0,0,0,0,2,6
2225 - Landscape and horticulture technicians and specialists,0,2,4,6,3,7,34,27
2231 - Civil engineering technologists and technicians,2,0,1,2,4,10,38,64
2232 - Mechanical engineering technologists and technicians,20,9,26,43,27,53,66,95
2233 - Industrial engineering and manufacturing technologists and technicians,13,11,16,27,26,37,48,70
2234 - Construction estimators,6,6,4,4,6,9,19,16
2241 - Electrical and electronics engineering technologists and technicians,12,14,12,11,12,15,71,92
2242 - Electronic service technicians (household and business equipment),0,3,1,3,6,3,15,21
2243 - Industrial instrument technicians and mechanics,51,15,20,18,5,4,23,23
"2244 - Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",0,0,2,1,0,2,1,1
2251 - Architectural technologists and technicians,0,0,1,0,3,8,18,11
2252 - Industrial designers,4,0,0,4,5,4,19,28
2253 - Drafting technologists and technicians,24,27,24,28,23,17,59,66
2254 - Land survey technologists and technicians,0,0,0,1,1,9,11,13
2255 - Technical occupations in geomatics and meteorology,0,0,2,0,0,0,2,2
2261 - Non-destructive testers and inspection technicians,3,6,1,1,0,0,4,13
2262 - Engineering inspectors and regulatory officers,0,3,0,0,1,0,1,1
2263 - Inspectors in public and environmental health and occupational health and safety,1,0,0,0,0,1,6,9
2264 - Construction inspectors,0,0,0,1,0,2,5,8
"2271 - Air pilots, flight engineers and flying instructors",3,1,4,3,2,1,1,11
2272 - Air traffic controllers and related occupations,0,0,0,1,0,0,5,1
